x,y
3722.88745117187,354.710174560547
3294.16430664063,2702.919921875
433.099487304688,307.979248046875
2040.87390136719,1118.19104003906
155.584014892578,1282.46606445313
3416.88427734375,1564.14965820312
3086.84643554687,851.975708007813
1815.69799804688,1905.84765625
1333.01818847656,2122.89819335937
2651.6748046875,623.684997558594
941.852905273437,1333.26257324219
1910.26733398438,3132.11254882812
995.083679199219,781.214965820313
457.586883544922,2216.55102539062
2861.669921875,1486.44445800781
1966.25134277344,594.951843261719
2312.67163085937,324.626861572266
281.750396728516,3464.478515625
594.865417480469,2795.96362304687
3530.27734375,935.270812988281
3949.83129882812,2400.10229492187
3941.80102539062,1369.65942382813
3022.03735351562,88.410774230957
2686.2607421875,2714.83081054687
3759.41186523437,2871.97241210937
2186.365234375,2273.07250976563
1052.20104980469,2500.70336914062
1198.56396484375,3397.54345703125
1388.08239746094,1232.62048339844
2220.39990234375,2796.93969726562
3733.0869140625,1984.52990722656
2887.1513671875,2300.91528320313
852.425354003906,2015.00427246094
2735.80786132813,3216.94995117187
2361.16625976562,1454.09606933594
1652.63244628906,3607.04516601562
3145.43530273437,3667.57763671875
488.077667236328,738.355529785156
2387.81274414062,3741.17260742188
574.614990234375,1639.02514648438
3341.96875,3232.07202148437
874.788024902344,300.836791992187
2545.69091796875,1949.7255859375
1417.01977539063,311.953063964844
1303.86889648438,1653.93762207031
1593.72521972656,795.816711425781
1073.814453125,3829.70532226562
50.0031967163086,3949.90478515625
2545.28540039062,1066.5634765625
1784.70458984375,2589.22094726563
